taskId,goal,demo,screen_url_0,screen_url_1,screen_url_2,screen_url_3,screen_url_4,screen_url_5,screen_url_6,screen_url_7,screen_url_8,screen_url_9,screen_url_10,screen_url_11,screen_url_12,screen_url_13,screen_url_14,screen_url_15,screen_url_16,screen_url_17,screen_url_18,screen_url_19,screen_url_20,screen_url_21,screen_url_22,screen_url_23,screen_url_24,screen_url_25,time_step_0,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25
00000-008,Add one ball to make sure the green ball is touching the blue ball.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/99.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/109.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/008/358.png,0,99,109,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
00000-007,Add one ball to make sure the green ball is touching the blue ball.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/18.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/142.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/007/416.png,0,18,142,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416
00000-013,Add one ball to make sure the green ball is touching the blue ball.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/78.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/96.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/101.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/117.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/464.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/475.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/013/529.png,0,78,96,101,117,464,475,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529
00000-001,Add one ball to make sure the green ball is touching the blue ball.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/47.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/75.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/117.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/001/575.png,0,47,75,117,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575
00000-091,Add one ball to make sure the green ball is touching the blue ball.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/104.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/130.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/150.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/365.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/091/721.png,0,104,130,150,365,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721
00000-094,Add one ball to make sure the green ball is touching the blue ball.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/94.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/124.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/214.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/094/375.png,0,94,124,214,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375
00000-054,Add one ball to make sure the green ball is touching the blue ball.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/87.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/99.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00000/054/390.png,0,87,99,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390
